allegation,allegation_classification,allegation_categories,allegation_categories_description
DR.03:09:937 - Safety (b) violating safety rules without a threat to life - IA investigation - 8 hours of suspension,Neglect of Duty and Professionalism,,
"Misuse of surveillance system camera - Employee Conduct - DR.03:08.000 D. Each employee has an obligation to observe and follow the STPSO policies and to maintain proper standards of conduct at all times as describe herein. If an individual's behavior interferes with the orderly and efficient operation of the Agency, corrective disciplinary measures may be taken - Group 2 - DR.03:09.932.01 - Failure to follow supervsior instructions, perform assigned work or otherwise comply with policy and procedure - written warning",Improper Use or Destruction of Equipment,,
Group 2 - DR.03:09.935.01 (a) - failure to properly care for assigned equipment or any agency property - suspension 8 hours,Improper Use or Destruction of Equipment,,
"Group 2 - DR.03:09.932.01 - Insubordination, failure to follow supervisor instructions, perform assigned work, or otherwise comply with policy and procedure - written warning",Neglect of Duty and Professionalism,,
Dr03:09.966.01c Fraternization DR.03:09.959 Falsifing application,Falsifying Statements and Reports,,
"SOP.1100:02.000- Property and Evidence Control procedures; DR.03:09.957.01 - Group 3 - Willful disregard of agency rules, regulations, policies and procedures - DR.03:09.957.01 a. wanton or willfuld neglect of duties - 72 hours",Mishandling Evidence,,
"DR.03:09-932.01 - Insubordination by failing to follow supervisor's instruction, perform assgned work, or otherwise comply with policy and procedure - warning",Neglect of Duty and Professionalism,,
relative to unsatisfactory job performance - warning,Neglect of Duty and Professionalism,,
"Group 2 - Insubordnation - DR.03:09.932.01 - Failure to follow supervisor instruction, perform assigned work, or otherwise comply with policy and procedure - warning",Neglect of Duty and Professionalism,,
"DR.03:09.932.01 - Failure to follow supervisor instructions perform assigned work, or otherwise comply with policy and procedure - 8 hour suspension",Neglect of Duty and Professionalism,,
"DR.03:09.933.01 - Employee Conduct - Members of the STPSO shall conduct themselves at all times, both on and off duty, in such a manner as to reflect most favorably on the Agency. Unbecoming conduct shall include that which brings the Agency into disrepute or reflects discredit upon the individual as a member of the STPSO, or that which impairs the operation or efficiency of the STPSO or the individual. Group 2 - DR.03:09.000 A - Language/conduct - using rude, discouteous, racial related or insulting language, or conduct offensive to the public, supervisors, or other STPSO employees. 24 hours suspension",Neglect of Duty and Professionalism,,
"DR.03:09.932.01 - Group 2 - Insubordination: Failure to follow supervisor instructions, perform assigned work, or otherwise comply with policy and procedure - DR.03.09.935.01 - Proper Use of Equipment - suspension 8 hours",Improper Use or Destruction of Equipment,,
"Group 2 - DR.03:09.931.02 C - Failure to act when necessary - DR.03:09.932.01 - Failure to follow supervisor instructions, perform assigned work, or otherwise comply with policy and procedure - suspension 16 hour",Neglect of Duty and Professionalism,,
"Professional Police Ethics - DR.03:08.050 - Code of Police Ethics Article 4 - Utilization of proper means to gain proper end - Law enforcement code of ethics DR.03:08.100 - I will never act officiously or permit personal feelings, prejudices, animosities or friendships to influence my decisions. Group 3 - DR.03:09.955.01 - Using public office for private gain - suspension 40 hours",Neglect of Duty and Professionalism,,
"Grp 1 - DR.03:09.920.01 - Safety - failure to follow safety rules and procedures. Grp 3 DR.03:09.957.01 - willful disregard of Agency rules, regulations, policies and procedures - suspension - 40 hours",Neglect of Duty and Professionalism,,
"DR.03:09.932.01 Failure to follow supervisor instructions, perform assigned work, or otherwise comply with policy and procedure. DR.03:09.933.01 Using rude, discourteous, racial related, or insulting language, or conduct offensive to the public, supervisors, or other STPSOemployees. DR.03:09.955.01 f. Taking any action which will impair the efficiency or reputation of the Agency, its members, or employees DR.03:09.957.01 Willful disregard of Agency rules, regulations, policies or procedures",Neglect of Duty and Professionalism,,
Insubordination - Warning,Neglect of Duty and Professionalism,,
"DR.03:09.932.01 - Group 2 - Insubordination, Failure to follow supervisor instructions, perform assigned work, or otherwise comply with policy and procedure - suspension - 24 hours",Neglect of Duty and Professionalism,,
"SOP.07002:II-A-010-230 - an prisonor is not allowed to possess potentially dangerous property. SOP.07002:II-A-010.180, when contraband is found on a prisoner, intake deputy is to notify the supervisor and wait for instruction - warning",Engaging in Criminal Activity,,
"Group 2 - DR.03:09.933.01 - Using rude, discourteous, racial related, or insulting language, or conduct offensive to the public, supervisors, or other STPSO employees - suspended 8 hours & removal from FTO Board & CTU",Neglect of Duty and Professionalism,,
"Group 3 - Employee Conduct, DR.03:08.000 - a. members of the STPSO shall conduct themselves at all times, both on and off duty, in such a manner as to reflect most favorably on the Agency. Unbecoming conduct shall include that which brings the Agency into disrepute or reflects discredi upon the individual as a member of the STPSO, or that which impairs the operation or efficiency of the STPSO or the individual. DR.03:09.500.01 - Disciplinary Authority - employees may be reduced in pay or position, suspended, terminated or otherwise discipline by the Sheriff, or his designee, at their discretion, for among other reasons ; Job performance group 1 - DR.03:09.916.01 b & c, Failure to Act, Group 2 DR.03:09.931.02 - d. failure to properly supervise subordinates; Group 2 DR.03.09.933.01 - Language/Conduct - demotion to Lieutenant",Neglect of Duty and Professionalism,,
Employee Conduct - Code of Ethics DR.03:08.150 a - an employee must always conscientiously perform all job duties - Public Relations - Group 2 - DR.03:09.931.02 - c. failure to act when necessary - 24 hours supsension,Neglect of Duty and Professionalism,,
"DR:03.09.955.01 - Immoral conduct/taking any action which will impair the efficiency or reputation of the agency, its members or employess - DR.03:09.9159.01 B - Failure to work cooperatively with other employees or supervisors.",Neglect of Duty and Professionalism,,
Group 2- DR.03:09.933 - Language/conduct - 8 hours suspension,Neglect of Duty and Professionalism,,
Firearms - Group 3 - DR.03:09.965.01 - d. carrying an unathorized weapon - 3 months suspension from Reserves,Improper Use or Destruction of Equipment,,
DR.07:100.000 - Assignment & Operation Agency Vehicles - - Group 3 - DR.03.98.975.01 - Violating safety rules where there is a threat to life - Transfer to Radio Room,Improper Use or Destruction of Equipment,,
"Group 2 - DR.03:09.933 - Language/Conduct - Using rude, discourteous, racial related...- warning",Neglect of Duty and Professionalism,,
"DR.03:09.932.01 Failure to follow supervisor instructions, perform assigned work, or otherwise comply with policy and procedure. DR.03:09.933.01 Using rude, discourteous, racial related, or insulting language, or conduct offensive to the public, supervisors, or other STPSOemployees. DR.03:09.970.01 a. Wanton or willful neglect of duties. DR.03:09.957.01 Willful disregard of Agency rules, regulations, policies or procedures",Neglect of Duty and Professionalism,,
"DR. 03:09.932.01 Insubordination-Failure to follow supervisor instructions, perform assigned work, or otherwise comply with policy and procedure. 8 hour suspension",Neglect of Duty and Professionalism,,
DR.03:08.1700.01 - Employee Conduct Tobacco - Free Environment - Warning,Neglect of Duty and Professionalism,,
"DR.03:09.932.01 - Insubordination Group 2 - failure to follow supervisor instructions, perform assigned work, or otherwise comply with policy and procedure. Suspension 8 hours",Neglect of Duty and Professionalism,,
"SOP.2050:02.070 - NLETS AND NCIC - SOP.1950:01.010 - TRANSPORTATION - Group 2 - DR.03:09.935.01 d. Prohibited use and/or misuse of Agency computers and/or software - suspension 24 hours - Group 2 - DR.03:09.935.01 - Failure to follow supervisor's instructions, perform assigned work, or otherwise comply with policy and procedure - 16 hours suspension",Improper Use or Destruction of Equipment,,
"Involved in an incident while operating his unit. He was traveling on the highway and overtook 18 wheeler that was ccupying the right lane -paased and merge into right lane while he merged he observed debris on the right side of his lane of travel and were unable to avoid - he thinks the debris was a metal ladder, wood and trash he recalled debris to flip over the car but it continued to function normally until his temperature gauge indicated the engine was overheating and then he pulled over and contact his supervisor - Group 2 - DR.03:09.925.02 - Discipline and DR.08:09.935.01 a. - Failure to properly care for assigend equipment or any Agency property b. Fdamagin or causing damage to same due to neglect or carelessness - warning",Improper Use or Destruction of Equipment,,
